,Province_State,Country_Region,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
215,Tennessee,US,2020-06-30 04:33:48,35.59942968,-85.20611967,616,1,0,615,4089.2193308550177
216,Alabama,US,2020-06-30 04:33:48,33.98210918,-86.56790593,196,1,0,195,338.94787811710995
217,Tennessee,US,2020-06-30 04:33:48,35.68938198,-83.92847788,162,3,0,159,121.72397210867996
218,Minnesota,US,2020-06-30 04:33:48,44.03554215,-94.06699781,377,2,0,375,557.2554062643194
219,Idaho,US,2020-06-30 04:33:48,43.98829931,-115.7309284,4,0,0,4,51.07904482186183
220,Mississippi,US,2020-06-30 04:33:48,33.79696941,-90.87372121,254,13,0,241,829.3065169126289
221,Missouri,US,2020-06-30 04:33:48,37.32449052,-90.02725304,12,0,0,12,98.90381603890215
222,South Dakota,US,2020-06-30 04:33:48,42.98914167,-97.88592746,11,0,0,11,159.39718881321548
223,Illinois,US,2020-06-30 04:33:48,38.88829622,-89.43534887,13,1,0,12,79.14282235480336
224,Idaho,US,2020-06-30 04:33:48,48.29996017,-116.6017932,31,0,0,31,67.77585867640308
225,Idaho,US,2020-06-30 04:33:48,43.38713372,-111.6161537,113,1,0,112,94.90853504896609
226,Arkansas,US,2020-06-30 04:33:48,36.3084504,-93.09374925,22,1,0,21,58.773242145757635
227,Illinois,US,2020-06-30 04:33:48,42.32359279,-88.82345779,579,21,0,558,1081.353653070372
228,Indiana,US,2020-06-30 04:33:48,40.0509304,-86.46841646,416,41,0,375,613.1804312898897
229,Iowa,US,2020-06-30 04:33:48,42.03657094,-93.9313999,135,1,0,134,514.5993748570556
230,Kentucky,US,2020-06-30 04:33:48,38.97065142,-84.72615357,594,23,0,571,444.67401801154364
231,Missouri,US,2020-06-30 04:33:48,38.99186229,-92.30723575,313,2,0,311,173.44275557870586
232,Nebraska,US,2020-06-30 04:33:48,41.70759415,-98.06737183,7,0,0,7,134.82280431432974
233,West Virginia,US,2020-06-30 04:33:48,38.01974191,-81.69888019,20,0,0,20,93.20967516428206
234,Texas,US,2020-06-30 04:33:48,31.89978581,-97.63613524,13,0,0,13,69.57452502006957
235,Louisiana,US,2020-06-30 04:33:48,32.67932307,-93.60460152,836,29,0,807,658.0656333881723
236,Virginia,US,2020-06-30 04:33:48,37.55531756,-79.80982182,86,4,0,82,257.3386396959813
237,North Dakota,US,2020-06-30 04:33:48,48.79106111,-100.8378166,5,0,0,5,79.59248646927729
238,Colorado,US,2020-06-30 04:33:48,40.09313619,-105.3546767,1367,71,0,1296,419.07319525683937
239,Idaho,US,2020-06-30 04:33:48,48.76684761,-116.4630179,1,0,0,1,8.166598611678237
240,Kansas,US,2020-06-30 04:33:48,37.85508555,-94.84865997,21,1,0,20,144.48878491812303
241,Kentucky,US,2020-06-30 04:33:48,38.2054607,-84.21827874,30,1,0,29,151.60703456640385
242,Texas,US,2020-06-30 04:33:48,33.44626922,-94.41834132,430,13,0,417,461.1507319427314
243,North Dakota,US,2020-06-30 04:33:48,46.11285362,-103.5203343,1,0,0,1,33.06878306878307
244,Nebraska,US,2020-06-30 04:33:48,42.22079243,-103.0878834,3,0,0,3,27.82157099137532
245,Kentucky,US,2020-06-30 04:33:48,38.36176608,-82.68652187,61,3,0,58,130.57065799049616
246,Nebraska,US,2020-06-30 04:33:48,42.8997274,-98.76486568,1,0,0,1,52.110474205315285
247,Kentucky,US,2020-06-30 04:33:48,37.62680923,-84.8633779,38,0,0,38,126.41383898868929
